categoria_do_encargo;tipo_do_encargo;codigo_do_encargo;valor_total_do_carne;parcelas;taxa_de_desconto_%;vencimento_da_primeira_parcela;valor_da_primeira_parcela;codigo_de_barras;complemento_despesa;calcular_taxa_de_administracao_sobre_o_servico;conta_bancaria;
1;1;11160;258.72;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;11172;258.72;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;11272;448.64;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;11273;448.64;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;11274;448.64;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;11278;163.28;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;11280;119.68;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;11287;388.8;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;11291;388.8;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;11295;370.72;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;11303;370.72;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;11550;292.4;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;11551;436.4;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;11552;472.48;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;11578;468.56;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;11580;280.8;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;11581;870.64;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;11586;364.56;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;11587;364.56;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;11609;404.32;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;11610;465.44;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;11612;398.32;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;11613;398.32;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;11614;398.32;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;11615;398.32;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;11634;289.28;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;11634;289.28;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;11636;406.64;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;11638;189.28;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;11639;225.28;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;11640;246;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;11641;203.76;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;11642;189.28;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;11643;225.2;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;11644;246;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;11645;203.76;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;11646;189.28;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;11647;225.28;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;11648;246;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;11649;203.76;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;11650;189.28;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;11651;225.28;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;11652;246;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;11653;142.64;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;11701;230.56;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;11739;226.32;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;11740;256.32;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;11743;391.92;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;11744;1235.12;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;11746;2501.68;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;11747;138.8;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;11749;946.64;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;11750;1290.64;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;11754;1166.32;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;11756;1757.52;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;11783;451.44;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;11785;435.6;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;11861;473.76;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;12061;379.52;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;12178;370.08;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;12260;549.6;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;12417;718;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;12417;718;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;12454;556;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;13059;634.72;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;13389;196.88;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;13504;642.8;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;13613;367.28;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;13650;586.88;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;13749;715.12;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;14061;270.56;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;14377;1202.8;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;14378;983.92;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;14626;2067.68;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;15402;948.16;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;16869;373.2;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;17077;227.2;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;18266;214.24;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;18267;174.56;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;18269;185.04;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;18275;366.16;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;19818;200;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;19971;285.36;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;20899;138.88;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;20978;656.88;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;21587;425.44;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;21749;536.32;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;21846;374.24;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;21986;868.16;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;21986;868.16;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;21988;79.68;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;22002;1723.28;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;22127;601.2;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;22137;520.48;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;22391;766;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;22403;456.32;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;22403;456.32;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;22423;843.2;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;22425;936.88;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;22427;459.12;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;22428;485.92;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;22429;459.12;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;22431;459.12;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;22432;222.96;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;22461;1583.36;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;22462;681.52;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;22462;681.52;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;22462;681.52;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;22462;681.52;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;22462;681.52;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;22462;681.52;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;22462;681.52;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;22462;681.52;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;22462;681.52;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;22529;748.24;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;22575;1364.4;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;22632;513.2;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;22637;513.2;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;22801;275.92;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;23039;440;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;23286;1368.56;8;;10/05/2024;;;IPTU 2024;0;6;
